Date,HDFCBANK.NS,^NSEBANK
2023-05-08,802.4916381835938,43793.55078125
2023-05-15,792.4351196289062,43969.3984375
2023-05-22,786.3867797851562,44018.0
2023-05-29,781.860595703125,43937.8515625
2023-06-05,783.8560791015625,43989.0
2023-06-12,780.0355834960938,43938.1484375
2023-06-19,799.8680419921875,43622.8984375
2023-06-26,828.047119140625,44747.3515625
2023-07-03,808.093017578125,44925.0
2023-07-10,800.3546752929688,44819.30078125
2023-07-17,815.5635986328125,46075.19921875
2023-07-24,799.8680419921875,45468.1015625
2023-07-31,804.1021728515625,44879.5
2023-08-07,787.846923828125,44199.1015625
2023-08-14,774.1953125,43851.05078125
2023-08-21,759.9597778320312,44231.44921875
2023-08-28,766.384033203125,44436.1015625
2023-09-04,790.085693359375,45156.3984375
2023-09-11,808.75,46231.5
2023-09-18,744.4588623046875,44612.05078125
2023-09-25,742.8284301757812,44584.55078125
2023-10-02,746.600341796875,44360.6015625
2023-10-09,747.4276123046875,44287.94921875
2023-10-16,741.1250610351562,43723.05078125
2023-10-23,715.0143432617188,42782.0
2023-10-30,722.1199340820312,43318.25
2023-11-06,725.8917846679688,43820.1015625
2023-11-13,732.5106811523438,43583.94921875
2023-11-20,745.6511840820312,43769.1015625
2023-11-27,756.990966796875,44814.19921875
2023-12-04,804.5888671875,47262.0
2023-12-11,806.2192993164062,48143.55078125
2023-12-18,813.1788330078125,47491.8515625
2023-12-25,831.8675537109375,48292.25
2024-01-01,818.7026977539062,48159.0
2024-01-08,798.7485961914062,47709.80078125
2024-01-15,715.744384765625,45701.1484375
2024-01-22,698.3453979492188,44866.1484375
2024-01-29,703.8206176757812,45970.94921875
2024-02-05,683.112060546875,45634.55078125
2024-02-12,691.0451049804688,46384.8515625
2024-02-19,691.3858032226562,46811.75
2024-02-26,696.3256225585938,47286.8984375
2024-03-04,703.7962036132812,47835.80078125
2024-03-11,706.9840698242188,46594.1015625
2024-03-18,702.2144775390625,46863.75
2024-03-25,704.6723022460938,47124.6015625
2024-04-01,754.1439208984375,48493.05078125
2024-04-08,739.2512817382812,48564.55078125
2024-04-15,745.2619018554688,47574.1484375
2024-04-22,734.7981567382812,48201.05078125
2024-04-29,739.567626953125,48923.55078125
2024-05-06,699.8053588867188,47421.1015625
2024-05-13,723.2489013671875,48115.6484375
2024-05-20,748.4827880859375,48971.6484375
2024-05-27,755.5620727539062,48983.94921875
2024-06-03,776.1832885742188,49803.19921875
2024-06-10,787.8013305664062,50002.0
2024-06-17,821.7672119140625,51661.44921875
2024-06-24,830.671875,52342.25
2024-07-01,813.0598754882812,52660.3515625
2024-07-08,800.5292358398438,52278.8984375
2024-07-15,792.9319458007812,52265.6015625
2024-07-22,798.2846069335938,51295.94921875
2024-07-29,818.51123046875,51350.1484375
2024-08-05,814.0958862304688,50484.5
2024-08-12,805.1665649414062,50516.8984375
2024-08-19,801.6885986328125,50933.44921875
2024-08-26,807.5346069335938,51351.0
2024-09-02,807.5592041015625,50576.8515625
2024-09-09,821.8658447265625,51938.05078125
2024-09-16,858.989013671875,53793.19921875
2024-09-23,864.6377563476562,53834.30078125
2024-09-30,817.771240234375,51462.05078125
2024-10-07,814.4906005859375,51172.30078125
2024-10-14,829.7098388671875,52094.19921875
2024-10-21,860.0744018554688,50787.44921875
2024-10-28,857.0651245117188,51673.8984375
2024-11-04,865.5256958007812,51561.19921875
2024-11-11,835.087158203125,50179.55078125
2024-11-18,861.1597290039062,51135.3984375
2024-11-25,886.04833984375,52055.6015625
2024-12-02,915.5494995117188,53509.5
2024-12-09,923.3934936523438,53583.80078125
2024-12-16,873.93701171875,50759.19921875
2024-12-23,887.1336669921875,51311.30078125
2024-12-30,862.9356689453125,50988.80078125
2025-01-06,817.3272094726562,48734.1484375
2025-01-13,807.4605712890625,48540.6015625
2025-01-20,813.8986206054688,48367.80078125
2025-01-27,834.1990966796875,49587.19921875
2025-02-03,854.8203735351562,50158.8515625
2025-02-10,836.1231079101562,49099.44921875
2025-02-17,834.9638061523438,48981.19921875
2025-02-24,854.6477661132812,48344.69921875
2025-03-03,833.3604736328125,48497.5
2025-03-10,841.9197387695312,48060.3984375
2025-03-17,873.3696899414062,50593.55078125
2025-03-24,901.9088745117188,51564.8515625
2025-03-31,896.5316772460938,51502.69921875
2025-04-07,891.3269653320312,51002.3515625
2025-04-14,940.6354370117188,54290.19921875
2025-04-21,942.8554077148438,54664.05078125
2025-04-28,948.1341552734375,55115.3515625
2025-05-05,932.248779296875,53595.25
2025-05-12,954.44873046875,55354.8984375
2025-05-19,953.9060668945312,55398.25
2025-05-26,959.480712890625,55749.69921875
2025-06-02,976.1552734375,56578.3984375
2025-06-09,946.0127563476562,55527.3515625
2025-06-16,969.2486572265625,56252.8515625
2025-06-23,994.0139770507812,57443.8984375
2025-06-30,992.1809692382812,57031.8984375
2025-07-07,989.3878784179688,56754.69921875
2025-07-14,976.2705078125,56283.0
2025-07-21,999.8119506835938,56528.8984375
2025-07-28,1006.0999755859375,55617.6015625
2025-08-04,986.9500122070312,55004.8984375
2025-08-11,995.5499877929688,55341.8515625
2025-08-18,982.2999877929688,55149.3984375
2025-08-25,951.5999755859375,53655.6484375
2025-09-01,963.4000244140625,54114.55078125
2025-09-08,967.2999877929688,54809.30078125
2025-09-15,966.9000244140625,55458.8515625
2025-09-22,945.0499877929688,54389.3515625
2025-09-29,965.1500244140625,55589.25
2025-10-06,980.9000244140625,56609.75
2025-10-13,1002.5499877929688,57713.3515625
2025-10-20,994.75,57699.6015625
2025-10-27,987.2999877929688,57776.3515625
2025-11-03,982.2999877929688,57876.80078125
2025-11-10,989.5999755859375,58517.55078125
2025-11-17,998.0499877929688,58867.69921875
2025-11-24,1007.5999755859375,59752.69921875
2025-12-01,1003.2999877929688,59777.19921875
2025-12-08,1001.5,59389.94921875
2025-12-15,985.5,59069.19921875
